colossal,huge,tiny,fat,plump,a
connosieur,loser,expert,hobbyist,taste judge,d
clairvoyant,mind reader,garbage collector,complains listener,armpit sniffer,a
invicta,unconquered,defeated,enslaved,tortured,a
emancipate,jailed,set free,hostaged,escaped,b
serendipity,finding something bad unplanned,finding something good unplanned,planned to find something good,planned to find something bad,b
cantankerous,a newbie,a professional,a chad,a karen,d
carpe diem,save the day,like the day,hate the day,seize the day,d
hubris,kindness,cruelness,arrogance,jumpy,c
parsimonious,selfish,caring,stingy,harsh,c
squander,throw,waste,save,spend,b
integrity,honesty,bravery,girly,manly,a
zeal,boredom,curiosity ,noisy,excitement,d
citadel,tower,fortress,mall,castle,b
meticulous,clumsy,pretty,careful,foolish,c
